Date,Region,pm25,pm10,o3,no2,so2,co,aqi
2016-12-19,West,10.9,23.52,45.71,11.86,3.05,0.45,45.71
2016-12-20,West,8.22,18.78,46.56,10.11,2.94,0.49,35.83
2016-12-21,West,4.9,12.9,57.45,12.5,3.3,0.37,25.0
2016-12-22,West,7.73,18.14,37.0,33.23,3.68,0.36,32.77
2016-12-23,West,9.62,19.69,16.75,23.88,2.94,0.43,39.44
2016-12-24,West,7.36,16.27,30.09,16.77,7.55,0.21,31.09
2016-12-25,West,6.5,14.86,21.86,13.64,2.0,0.38,27.14
2016-12-26,West,5.38,12.17,19.12,16.54,2.0,0.51,22.96
2016-12-27,West,4.95,11.05,23.5,15.55,2.0,0.56,19.91
2016-12-28,West,5.77,14.62,24.31,11.38,2.0,0.6,24.0
2016-12-29,West,13.12,32.12,52.04,14.0,2.0,0.58,49.79
2016-12-30,West,11.82,26.59,58.18,10.45,2.0,0.59,48.27
2016-12-31,West,7.13,15.52,44.74,7.35,2.0,0.39,29.96
2017-01-01,West,8.26,17.7,25.13,9.35,2.22,0.36,34.13
2017-01-02,West,6.61,16.57,17.57,12.61,3.0,0.33,27.91
2017-01-03,West,6.83,16.22,22.48,11.74,3.0,0.35,28.48
2017-01-04,West,5.68,12.53,31.95,10.58,2.05,0.29,24.63
2017-01-05,West,6.0,14.25,21.5,10.4,2.8,0.31,25.4
2017-01-06,West,8.82,20.59,30.73,27.86,5.77,0.34,36.41
2017-01-07,West,12.55,26.32,27.91,27.0,13.5,0.33,50.45
2017-01-08,West,12.46,26.0,30.25,21.62,17.38,0.4,49.62
2017-01-09,West,10.6,22.25,41.65,18.2,14.5,0.3,43.9
2017-01-10,West,12.67,26.9,43.52,18.33,7.0,0.26,51.57
2017-01-11,West,13.16,26.68,43.42,17.05,5.53,0.25,52.11
2017-01-12,West,12.5,26.44,39.94,11.06,3.44,0.38,50.72
2017-01-13,West,15.25,30.38,44.5,19.75,4.92,0.86,54.67
2017-01-14,West,12.88,27.0,48.83,13.96,4.83,0.83,51.33
2017-01-15,West,15.17,29.17,47.04,15.67,7.79,0.82,54.42
2017-01-16,West,11.67,20.62,54.83,14.58,4.46,0.75,47.33
