City,Date,AQI,Tempa,Precipitation,Windspeed,AtmoPressure
Seremban,27/05/2024,35,29.1,0.9,4.1,1008
Seremban,28/05/2024,50,28.8,0,5.9,1008.3
Seremban,29/05/2024,43,29.2,6.5,3.6,1007.6
Seremban,30/05/2024,53,29.9,0,6.1,1008.5
Seremban,31/05/2024,52,29.5,0,5.9,1008.8
Seremban,01/06/2024,51,27.5,0,4.1,1010.5
Seremban,02/06/2024,51,27.2,2.5,5.6,1010.9
Seremban,03/06/2024,52,27.9,1,3.6,1010.5
Seremban,04/06/2024,43,28.1,5.8,4.1,1010.4
Seremban,05/06/2024,52,28.9,0,3.4,1010.4
Seremban,06/06/2024,55,27,7.4,3.9,1010.8
Seremban,07/06/2024,62,29.4,0.5,3.6,1009.6
Seremban,08/06/2024,65,28.7,0,3.8,1009.1
Seremban,09/06/2024,52,27.3,4.4,2.9,1009.5
Seremban,10/06/2024,55,28.5,0,3.5,1010.2
Seremban,11/06/2024,61,28.9,4.5,3.6,1010.8
Seremban,12/06/2024,56,27.8,25.5,5,1011.6
Seremban,13/06/2024,60,28.3,5.8,4.8,1010.5
Seremban,14/06/2024,62,27.6,8.2,4.1,1008.9
Seremban,15/06/2024,57,28.6,8.9,5.6,1008.1
Seremban,16/06/2024,58,26.1,0,4.3,1008.9
Seremban,17/06/2024,48,26,14.5,5.1,1010.3
Seremban,18/06/2024,28,27.1,0.7,3,1009.2
Seremban,19/06/2024,47,27.6,3.7,3.2,1008.2
Seremban,20/06/2024,58,27.2,13.7,5.4,1008.3
Seremban,21/06/2024,60,26.6,22,2.4,1008.6
Seremban,22/06/2024,35,25.7,0.5,6.1,1009.3
Seremban,23/06/2024,35,27.5,0,5.8,1008.7
Seremban,24/06/2024,58,28.7,0,6.3,1008.2
Seremban,25/06/2024,55,28.5,0.1,5,1007.5
Seremban,26/06/2024,56,28.1,5.3,6.7,1007.3
Seremban,27/06/2024,33,27.5,0,4.4,1008.6
Seremban,28/06/2024,37,26.1,7.8,3.8,1009.5
Seremban,29/06/2024,46,27.7,3.9,3.7,1009.7
Seremban,30/06/2024,43,26.3,5.6,5.3,1010.9
Seremban,01/07/2024,44,28.9,2.3,3.3,1009.4
Seremban,02/07/2024,61,28.2,0,3.6,1008.6
