Country,Region,Date,AQI,Temperature,RelativeHumidity,WindSpeed
Singapore,North-East,2015-12-29,53.46,26.24,85.93,14.16
Singapore,West,2015-12-30,53.46,26.24,83.32,15.42
Singapore,Central,2015-12-31,53.46,25.71,87.57,14.6
Singapore,North-East,2016-02-07,42.67,25.64,85.51,20.78
Singapore,West,2016-02-08,57.0,25.01,85.07,16.83
Singapore,Central,2016-02-09,59.09,25.16,86.29,11.66
Singapore,East,2016-02-10,55.98,25.68,89.41,13.64
Singapore,North,2016-02-11,36.21,26.45,87.48,10.1
Singapore,North-East,2016-02-12,37.43,27.08,87.61,9.77
Singapore,West,2016-02-13,42.01,26.93,88.12,10.27
Singapore,Central,2016-02-14,39.43,26.85,87.0,7.71
Singapore,East,2016-02-15,47.92,27.11,86.04,11.71
Singapore,North,2016-02-16,48.83,26.69,81.24,17.84
Singapore,North-East,2016-02-17,51.49,26.18,76.15,12.92
Singapore,West,2016-02-18,56.04,25.92,85.65,10.29
Singapore,Central,2016-02-19,45.24,24.92,91.73,9.56
Singapore,East,2016-02-20,35.82,25.6,87.41,14.89
Singapore,North,2016-02-21,52.13,26.04,81.51,15.16
Singapore,North-East,2016-02-22,51.0,26.45,79.68,13.43
Singapore,West,2016-02-23,50.56,26.4,85.3,13.19
Singapore,Central,2016-02-24,49.72,25.63,88.43,15.32
Singapore,East,2016-02-25,45.24,26.5,80.31,18.25
Singapore,North,2016-02-26,51.78,26.47,79.81,14.59
Singapore,North-East,2016-02-27,50.36,26.47,83.87,14.8
Singapore,Central,2016-02-29,51.08,26.56,84.1,16.83
Singapore,East,2016-03-01,50.78,26.56,82.2,17.02
Singapore,North,2016-03-02,50.4,26.55,85.48,16.2
Singapore,North-East,2016-03-03,51.19,26.46,86.13,14.21
Singapore,West,2016-03-04,52.25,26.62,85.55,13.48
Singapore,Central,2016-03-05,44.09,26.4,87.73,10.15
Singapore,East,2016-03-06,44.47,26.71,86.59,10.59
Singapore,North,2016-03-07,43.42,27.26,84.36,11.16
Singapore,North-East,2016-03-08,51.73,27.22,85.58,7.78
Singapore,West,2016-03-09,49.33,27.79,82.17,9.02
Singapore,Central,2016-03-10,48.14,27.6,84.2,7.79
Singapore,East,2016-03-11,52.44,27.2,86.21,10.84
Singapore,North,2016-03-12,50.42,27.08,85.52,9.41
Singapore,North-East,2016-03-13,48.67,26.93,87.27,8.51
Singapore,West,2016-03-14,50.9,27.3,85.96,7.96
Singapore,Central,2016-03-15,54.41,26.81,83.3,9.6
Singapore,East,2016-03-16,55.24,27.17,77.83,8.64
Singapore,North,2016-03-17,57.06,27.26,79.75,10.51
Singapore,North-East,2016-03-18,58.16,27.23,79.2,8.63
Singapore,West,2016-03-19,60.18,27.37,79.21,10.9
Singapore,Central,2016-03-20,60.62,27.5,81.76,7.7
Singapore,East,2016-03-21,63.12,27.32,85.29,5.96
Singapore,North,2016-03-22,62.07,26.95,86.46,5.57
Singapore,North-East,2016-03-23,61.07,27.36,85.51,7.33
Singapore,West,2016-03-24,59.85,27.3,84.45,8.07
Singapore,Central,2016-03-25,62.3,27.48,80.56,6.46
Singapore,East,2016-03-26,60.01,27.49,78.39,13.29
Singapore,North,2016-03-27,58.33,27.1,83.1,13.42
Singapore,North-East,2016-03-28,60.22,27.13,82.0,14.64
Singapore,West,2016-03-29,65.61,27.23,80.76,14.28
Singapore,Central,2016-03-30,75.63,27.46,78.61,12.86
Singapore,East,2016-03-31,73.21,27.48,79.51,11.77
Singapore,North,2016-04-01,72.02,27.56,78.04,12.03
Singapore,North-East,2016-04-02,63.26,27.82,80.12,10.81
Singapore,West,2016-04-03,57.95,26.93,86.46,8.12
Singapore,Central,2016-04-04,55.87,27.53,85.21,8.0
Singapore,East,2016-04-05,55.78,27.1,84.98,5.76
